product_id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
150352,Pink,Medium,138 mm,John Jacobs Online,JJ E14306,3500,eyeframe,0,1162,0.0,,186
150657,Tortoise,Narrow,132 mm,John Jacobs Online,JJ E14371,3500,eyeframe,45,1179,0.0,,160
150779,Tortoise,Medium,137 mm,OJOS,OJ E14384,1700,eyeframe,0,113,0.0,,215
150960,Copper,Wide,139 mm,John Jacobs,JJ E14436,3500,eyeframe,0,120,0.0,,703
150961,Silver,Wide,139 mm,John Jacobs,JJ E14436,3500,eyeframe,0,414,0.0,,557
150968,Tortoise,Extra Wide,143 mm,John Jacobs Online,JJ S14429,3500,sunglasses,0,873,0.0,,22
152701,Pink,Medium,136 mm,John Jacobs,JJ E13741,5000,eyeframe,0,73,0.0,,1422
152963,Orange,Extra Wide,145 mm,John Jacobs,JJ E14735,3500,eyeframe,0,453,5.0,1,631
153014,Gold,Medium,137 mm,OJOS,OJ E14716,1700,eyeframe,0,237,5.0,2,157
201680,White,Extra Wide,152 mm,John Jacobs Online,JJ S14983,3500,sunglasses,0,369,4.0,2,1
209119,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Dark Green Zero Power Monthly,699,contact_lens,0,15,0.0,,5000
209125,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Gray Zero Power Monthly,899,contact_lens,0,22,0.0,,0
209135,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Blue Zero Power Monthly,629,contact_lens,0,18,0.0,,0
209140,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Violet Zero Power Monthly,629,contact_lens,0,13,0.0,,0
209144,,,,Bausch & Lomb Lacelle,Bausch & Lomb Lacelle Hazel Zero Power Monthly,499,contact_lens,0,300,0.0,,4999
209254,Grey,Extra Wide,142 mm,OJOS,OJ S15730,2000,sunglasses,0,36,0.0,,113
209811,Black,Extra Wide,151 mm,Lenskart Boost,LKB S15360,2000,sunglasses,0,57,0.0,,749
209816,Black,Wide,145 mm,Lenskart Boost,LKB S15367,2000,sunglasses,0,56,0.0,,912
209822,Sky Blue,Extra Wide,147 mm,Lenskart Boost,LKB S15362,2000,sunglasses,0,34,0.0,,619
215331,Gold,Extra Wide,142 mm,John Jacobs,JJ S16631,6000,sunglasses,0,359,0.0,,845
215430,Gunmetal,Medium,136 mm,Lenskart Air,LA E14401,3000,eyeframe,0,729,0.0,,2065
216054,Gunmetal,Wide,142 mm,Lenskart STUDIO,LK S16738,3000,sunglasses,0,310,0.0,,744
216385,Pink,Medium,136 mm,Vincent Chase,VC E16783,1700,eyeframe,0,547,0.0,,1883
216384,Black,Medium,136 mm,Vincent Chase,VC E16783,1700,eyeframe,0,39,0.0,,1132
217396,Silver,Extra Wide,145 mm,John Jacobs,JJ E16992,5000,eyeframe,0,26,0.0,,172
116950,Brown,Medium,135 mm,John Jacobs Online,JJ E10227,3500,eyeframe,1115,1486,4.0,6,83
141836,Brown,Wide,139 mm,John Jacobs Computer Glasses,JJ E11735,4000,eyeframe,478,79,4.15,67,83
144089,Brown,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,76,473,4.75,12,109
144093,Black,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,67,524,4.75,12,95
144098,Black,2-5 yrs,104 mm,Hooper online,LKJ E10062,1000,eyeframe,51,442,4.75,12,59
144118,Silver,Narrow,130 mm,John Jacobs Computer Glasses,JJ E12814,4000,eyeframe,2090,254,4.6,17,360
144117,Grey,Narrow,130 mm,John Jacobs Computer Glasses,JJ E12814,4000,eyeframe,1576,215,4.6,17,285
145110,Black,2-5 yrs,116 mm,Hooper online,MJ-207,1000,eyeframe,157,123,3.6,5,14
145392,,,,Clalen Iris,Clalen Iris Suzy Brown Zero Power Daily,249,contact_lens,37,29,0.0,,50000
