id,color,size,width,brand_name,model_name,lenskart_price,classification,wishlistCount,purchaseCount,avgRating,totalNoOfRatings,qty
201452,Gold,Medium,137 mm,John Jacobs,JJ E13595,3500,eyeframe,0,3377,4.8,12,875
213141,Brown,Wide,140 mm,John Jacobs,JJ S16501,6000,sunglasses,0,1049,0.0,,548
213651,Blue,8-12 yrs,129 mm,Hooper,HP S16589M,1000,sunglasses,0,1127,0.0,,27
144916,Purple,Medium,135 mm,John Jacobs,JJ E13583,5000,eyeframe,1949,5724,4.75,14,553
212871,Blue,Medium,134 mm,Vincent Chase,VC E16457,2000,eyeframe,0,2455,0.0,,550
213231,Silver,Medium,138 mm,Vincent Chase,VC S16535,1500,sunglasses,0,1133,0.0,,512
215931,Black,Medium,136 mm,LENSKART BLU READERS,LR E16729,700,non_power_reading,0,1690,0.0,,1119
216512,Grey,Narrow,132 mm,Lenskart Air,LA E11411/N,3000,eyeframe,0,810,0.0,,791
152657,Silver,Medium,134 mm,John Jacobs,JJ E14684,5000,eyeframe,51,8477,5.0,7,8
210027,Blue,Medium,136 mm,Lenskart Air Online,LA E15875,2000,eyeframe,0,3200,0.0,,19
210496,Green,Medium,135 mm,Vincent Chase,VC E11260,2000,eyeframe,0,492,0.0,,831
212716,Maroon,Narrow,130 mm,Lenskart Air,LA E16432,2000,eyeframe,0,1518,0.0,,616
211423,Black,Medium,136 mm,Lenskart Air,LA E16160,2000,eyeframe,0,2145,0.0,,677
216425,Green,Medium,140 mm,Vincent Chase Polarized,VC S16800,2000,sunglasses,0,609,0.0,,1346
137998,Black,Narrow,132 mm,Vincent Chase,VC E13045,2000,eyeframe,14302,28860,4.65,154,4
213206,Gold,Narrow,132 mm,Vincent Chase,VC S16526,2000,sunglasses,0,1926,0.0,,150
143308,Green,Wide,139 mm,John Jacobs,JJ E11724,3500,eyeframe,1453,14596,4.3,152,6
146473,Black,Medium,136 mm,John Jacobs,JJ E13745,5000,eyeframe,1367,9785,4.6,8,117
211505,Gunmetal,Medium,150 mm,Vincent Chase,VC E16188,2000,eyeframe,0,1807,0.0,,312
215444,Purple,Medium,134 mm,Lenskart Air,LA E15392,2000,eyeframe,0,684,0.0,,1802
219782,Grey Transparent,Extra Narrow,127 mm,Vincent Chase,VC E11152,2000,eyeframe,0,519,4.4,344,1178
131415,Black,Wide,140 mm,John Jacobs,JJ E11676,5000,eyeframe,7493,20242,4.35,92,103
146981,Blue,Extra Narrow,128 mm,Vincent Chase,VC E13815,2000,eyeframe,860,21225,4.65,25,141
